run,step,score
1512,214,2.0
1513,261,7.0
1514,188,0.0
1515,273,3.0
1516,173,2.0
1517,174,1.0
1518,277,4.0
1519,304,3.0
1520,82,2.0
1521,442,5.0
1522,123,3.0
1523,98,1.0
1524,245,4.0
1525,259,4.0
1526,319,5.0
1527,396,6.0
1528,155,4.0
1529,100,2.0
1530,268,6.0
1531,452,4.0
1532,173,3.0
1533,119,1.0
1534,216,5.0
1535,178,1.0
1536,284,5.0
1537,575,7.0
1538,85,1.0
1539,234,7.0
1540,155,2.0
1541,543,5.0
1542,369,7.0
1543,92,1.0
1544,163,3.0
1545,203,4.0
1546,84,1.0
1547,360,5.0
1548,230,3.0
1549,86,1.0
1550,165,2.0
1551,249,4.0
1552,110,0.0
1553,418,4.0
1554,241,6.0
1555,345,1.0
1556,81,0.0
1557,191,1.0
1558,209,1.0
1559,222,2.0
1560,512,7.0
1561,205,3.0
1562,96,1.0
1563,256,5.0
1564,365,2.0
1565,429,1.0
1566,194,1.0
1567,95,3.0
1568,102,1.0
1569,202,1.0
1570,321,7.0
1571,127,1.0
1572,486,3.0
1573,94,2.0
1574,112,1.0
1575,267,5.0
1576,329,2.0
1577,180,2.0
1578,203,4.0
1579,229,5.0
1580,548,11.0
1581,651,11.0
1582,99,1.0
1583,117,0.0
1584,258,6.0
1585,378,3.0
1586,183,3.0
1587,200,3.0
1588,245,6.0
1589,140,0.0
1590,216,3.0
1591,79,2.0
1592,92,2.0
1593,500,6.0
1594,218,5.0
1595,244,3.0
1596,317,7.0
1597,704,5.0
1598,526,4.0
1599,195,3.0
1600,121,4.0
1601,382,3.0
1602,378,4.0
1603,364,5.0
1604,590,2.0
1605,249,5.0
1606,336,2.0
1607,184,2.0
1608,205,4.0
1609,82,2.0
1610,104,2.0
1611,259,6.0
1612,448,3.0
1613,204,7.0
1614,218,1.0
1615,154,3.0
1616,137,0.0
1617,194,5.0
1618,138,2.0
1619,140,0.0
1620,273,4.0
1621,162,2.0
1622,180,3.0
1623,553,11.0
1624,198,3.0
1625,170,0.0
1626,342,6.0
1627,224,4.0
1628,103,1.0
1629,206,1.0
1630,89,2.0
1631,98,1.0
1632,331,4.0
1633,131,2.0
1634,119,0.0
1635,391,3.0
1636,150,3.0
1637,112,1.0
1638,202,3.0
1639,359,5.0
1640,208,4.0
1641,238,4.0
1642,108,1.0
1643,256,1.0
1644,229,1.0
1645,145,2.0
1646,156,1.0
1647,311,4.0
1648,240,1.0
1649,623,3.0
1650,234,3.0
1651,82,0.0
1652,168,0.0
1653,706,14.0
1654,171,2.0
1655,384,9.0
1656,242,6.0
1657,96,0.0
1658,249,3.0
1659,245,2.0
1660,306,0.0
1661,89,1.0
1662,369,5.0
