run,step,score
1293,841,170.0
1294,1033,415.0
1295,1699,610.0
1296,987,290.0
1297,1420,350.0
1298,1239,385.0
1299,1767,550.0
1300,687,180.0
1301,1009,270.0
1302,816,215.0
1303,824,135.0
1304,1163,255.0
1305,668,105.0
1306,619,60.0
1307,634,175.0
1308,758,155.0
1309,501,55.0
1310,707,160.0
1311,629,105.0
1312,359,55.0
1313,890,445.0
1314,718,215.0
1315,679,150.0
1316,634,140.0
1317,502,105.0
1318,993,300.0
1319,402,50.0
1320,638,125.0
1321,785,135.0
1322,1549,455.0
1323,1070,300.0
1324,798,220.0
1325,948,280.0
1326,787,140.0
1327,811,180.0
1328,527,120.0
1329,858,190.0
1330,835,140.0
1331,999,315.0
1332,818,225.0
1333,352,75.0
1334,1402,250.0
1335,434,75.0
1336,1288,525.0
1337,356,65.0
1338,835,115.0
1339,836,180.0
1340,1367,800.0
1341,529,125.0
1342,908,285.0
1343,612,115.0
1344,486,185.0
1345,371,80.0
1346,817,190.0
1347,997,420.0
1348,564,110.0
1349,628,115.0
1350,1248,195.0
1351,701,175.0
1352,826,105.0
1353,649,150.0
1354,790,245.0
1355,778,120.0
1356,796,315.0
1357,1190,270.0
1358,958,210.0
1359,514,125.0
1360,968,160.0
1361,874,120.0
1362,604,40.0
1363,337,75.0
1364,687,195.0
1365,832,410.0
1366,973,295.0
1367,684,85.0
1368,705,135.0
1369,621,105.0
1370,979,470.0
1371,545,125.0
1372,635,205.0
1373,1118,340.0
1374,908,270.0
1375,775,180.0
1376,382,80.0
1377,575,160.0
1378,1023,220.0
1379,645,175.0
1380,672,140.0
1381,315,55.0
1382,843,210.0
1383,768,155.0
1384,798,255.0
1385,589,60.0
1386,885,185.0
1387,603,75.0
1388,599,115.0
1389,435,120.0
1390,1170,535.0
1391,768,190.0
1392,720,110.0
1393,1272,360.0
1394,371,50.0
1395,483,135.0
1396,636,175.0
1397,656,135.0
1398,1274,440.0
1399,655,190.0
1400,1084,290.0
1401,1160,265.0
1402,526,70.0
1403,1219,290.0
1404,637,110.0
1405,498,65.0
1406,389,75.0
1407,1162,260.0
1408,792,210.0
1409,1763,655.0
1410,663,150.0
1411,974,345.0
1412,701,130.0
1413,634,160.0
1414,859,205.0
1415,1003,255.0
1416,481,70.0
1417,619,155.0
1418,803,155.0
1419,858,225.0
1420,1207,215.0
1421,426,110.0
1422,970,260.0
1423,615,125.0
1424,601,180.0
1425,579,70.0
